STATE/UT,DISTRICT,YEAR,crime_type,crime_count,Region
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,ROBBERY,7,East
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,BURGLARY,17,East
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,THEFT,25,East
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,AUTO THEFT,0,East
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,OTHER THEFT,25,East
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,RIOTS,5,East
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,CRIMINAL BREACH OF TRUST,3,East
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,CHEATING,2,East
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,COUNTERFIETING,0,East
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,ARSON,2,East
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,HURT/GREVIOUS HURT,11,East
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,DOWRY DEATHS,0,East
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,4,East
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,INSULT TO MODESTY OF WOMEN,0,East
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,CRUELTY BY HUSBAND OR HIS RELATIVES,0,East
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0,East
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,CAUSING DEATH BY NEGLIGENCE,0,East
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,MURDER,4,East
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,ATTEMPT TO MURDER,0,East
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,0,East
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,RAPE,2,East
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,CUSTODIAL RAPE,0,East
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,OTHER RAPE,2,East
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,KIDNAPPING & ABDUCTION,1,East
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,1,East
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,KIDNAPPING AND ABDUCTION OF OTHERS,0,East
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,DACOITY,3,East
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,PREPARATION AND ASSEMBLY FOR DACOITY,0,East
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,ROBBERY,5,East
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,BURGLARY,17,East
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,THEFT,20,East
